,Unnamed: 0,coin,base_date,base_price,max_date,max_price,pct_change,pump_length,date_listing,pump_to_listing,state
479,479,req,10-08-2021,0.04239335034617119,13-08-2021,0.3944669849072308,8.304925930272875,23,30-10-2017,1380,bullish
481,481,rfox,09-02-2021,0.020818118828450333,10-04-2021,0.3385972015484948,15.264543609279587,72,27-10-2020,105,bullish
482,482,rfox,18-10-2021,0.03487324768612809,27-11-2021,0.3325106871743101,8.534835704636036,47,27-10-2020,356,bearish
483,483,rfr,08-10-2020,0.00027436018347837303,13-10-2020,0.002220461412968316,7.093234903173727,10,28-03-2018,925,bearish
484,484,rfr,23-11-2020,0.00041150505162319286,07-12-2020,0.004880993233248812,10.861320326434877,15,28-03-2018,971,bearish
485,485,rfr,18-02-2021,0.004064183864715591,05-04-2021,0.04264420024744863,9.492684796491815,49,28-03-2018,1058,bullish
487,487,rif,04-07-2019,0.009147499848474423,24-08-2019,0.15765390595974593,16.23464428217932,73,16-01-2019,169,bullish
488,488,rise,01-11-2021,2.4799140952553083e-08,05-12-2021,0.0011801503978476624,47587.35800423826,51,22-06-2021,132,bullish
489,489,rlc,12-12-2017,0.505407365270881,12-01-2018,4.053524849274957,7.020312183425357,44,20-04-2017,236,bullish
490,490,rlc,27-04-2021,1.8839229254328285,10-05-2021,12.959429493578154,5.878959493844866,15,20-04-2017,1468,bearish
493,493,rndr,16-02-2021,0.1734249258917485,28-03-2021,2.490100814259012,13.358379001489832,42,15-06-2020,246,bullish
494,494,rndr,02-11-2021,0.8881421943316823,21-11-2021,7.825111110715951,7.8106512230333385,37,15-06-2020,505,bullish
498,498,rpl,27-12-2018,0.04328745257939631,06-02-2019,0.9604983734063056,21.188840326064312,43,19-07-2018,161,bearish
499,499,rpl,18-04-2020,0.3217941912596371,29-05-2020,3.209078532983612,8.972456371639076,67,19-07-2018,639,bullish
500,500,rune,10-11-2019,0.008512638584272347,12-12-2019,0.1188432890279537,12.960805201753118,75,21-07-2019,112,bullish
501,501,rune,10-11-2019,0.008512638584272347,12-12-2019,0.1188432890279537,12.960805201753118,75,21-07-2019,112,bullish
502,502,rvn,01-03-2019,0.010124296912195116,09-04-2019,0.06864303129579898,5.780029456970562,62,21-03-2018,345,bullish
503,503,rvn,29-01-2021,0.0126349310972638,21-02-2021,0.22945584022138,17.160434628018713,51,21-03-2018,1045,bullish
506,506,saito,16-10-2021,0.009582234139400046,16-11-2021,0.08482848718310777,7.852683617311294,48,22-04-2021,177,bearish
